,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
18,39839,19.9323,0.000123763,3.29526600378573e-06,0.000670835,1.2716429972879983e-05,-0.25639674501955323,0.0,1.5649940382039314e-09,-219.77968915409954,-218.8719338751174,3.530034986687649e-06,1.774349898713514e-08,-195.49831735352407,-194.59056207454194,3.627147065392852e-05,4.883522678506196e-06,-1.917204914063239e-08,5.323285839000379e-11,7.9775309734189e-10,-190.13929994765266,-186.02120429669435
19,39840,0.25,0.28732800000000003,0.0228993510548523,1.11129,0.3209592258341506,-0.5590454212337024,4.861079094808929e-09,1.2245459966457384,-115.71415601293907,-110.96359919757074,0.16557847498756856,1.7760231059852953,-102.32912221838066,-97.57856540301233,0.21022160717450475,0.027060661165673912,0.06005594715289806,-0.010215569642113818,1.184289944187795,45.24605471025429,99.50217967930593
20,39841,0.2039,0.1679,0.113970768041051,1.2383,2.421235073832986,0.27907860482009034,1.020912556961151,0.8960193665183033,-150.75797805962148,-145.61726185950855,0.30584821675113094,4.795764246647247,-81.97939846669698,-76.83868226658406,0.11476658630708818,0.8181974991192639,-0.27715232424262454,0.029859074119177053,0.8489778551685754,33.38389575385802,100.4996342886217
21,39842,0.2453,0.1501,0.0274588434784866,1.2609,1.1251587170467134,0.24687685728676145,0.9960397082705565,1.8659683898026576,-92.68773232223971,-88.10865074839123,0.24685386298637801,4.144435266722702,-65.55619565213763,-60.97711407828915,0.11927140151381797,0.4085126707953987,-0.03891724106815743,-0.003069907997519911,1.5655067307113268,53.83068750093462,103.14786376403563
22,39843,0.1254,0.2429,0.21997352876542103,1.1975,2.395178817534121,0.2886273437946756,0.9628826225231233,0.5251418856020716,-105.336156534099,-101.3395430035734,0.3630835554914894,3.0207912375962964,-56.34719998920425,-52.350586458678634,0.11965143637613486,0.8414968504121838,-0.29294396727590166,0.033775990534935095,0.5508336652659023,19.461804561487977,54.76691731586807
23,39844,0.2445,0.17,0.10285284756698199,1.4369,1.6294478197018798,0.16268666269012383,0.9452048383296743,1.1566325310548875,-144.8705866703487,-139.6575778154986,0.2607676439291554,4.93223934698847,-83.95881319997392,-78.74580434512382,0.13644717610063772,0.6149614462916646,-0.1535333674883422,0.012363012545761878,1.1273743461757315,45.24414916642398,115.01326427947534
24,39845,0.2521,0.1897,0.0535402081428035,1.1118,0.6955067364740015,-0.1597921006220643,0.8685716075675085,0.5966678437449242,-82.66676463380355,-79.13260314275972,0.18572633820239556,1.5638309337431926,-59.54196702474184,-56.007805533698,0.13159678018562762,0.3344868781033423,-0.058030502985234655,0.0036378209029861853,0.611092151957908,22.015577433923312,48.75470787123017
25,39846,0.2405,0.1648,0.0682727542164904,0.8349,0.2813213924394815,-0.47963206455689833,0.0,0.607169803337773,-77.5921430244925,-74.18566037670504,0.169967781866319,0.785538640277116,-71.66823646892495,-68.26175382113749,0.19326216077029154,0.025693290871633672,0.03749670705528886,-0.004338404498262082,0.5765621588447639,20.48934670860925,45.19923102719224
26,39847,0.2477,0.1932,0.0524326912607638,0.9222,,,,,,,0.17786044234556941,0.9110333936251348,-103.3420508569425,-99.04008924348707,-0.04290734303756257,0.5393362682937138,-0.19027828892818888,0.023231524900795976,0.4615995500854636,13.555802026968792,55.70744375255289
27,39848,0.2405,0.1147,0.0520832558685048,1.1139,0.699537050058111,0.2965403287431536,1.100377234864669,0.7498488842549462,-81.66898513203547,-78.01235765743087,0.23928481403027035,1.2147575516609195,-69.6082828486431,-65.9516553740385,0.06938746263284881,0.2709267334622541,0.03771585766824545,-0.01645195756290502,0.7173632068943894,26.170705990107543,54.985974137207954
