,ID,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
10,713,4.8629001656830555e-05,-0.31868253154458953,4932.805866794315,4.501243821697991e-08,-624.8597397359993,-620.5577781225438,4.773507786913953e-05,7.465687803469932e-06,-1.8507957625411087e-07,1.494247625123041e-09,4.503492428077651e-08,-486.8700684250182,-444.7184266994341
11,721,6.835066969655302e-06,-0.11663479549212111,71702.85021657143,4.459881656580661e-12,-161.56595012325377,-162.1906717155696,3.3763471317561727e-06,1.6260208152310206e-06,-9.18452412197915e-08,1.5441353534503328e-09,1.4627202644987121e-12,-151.22763373055648,-149.8523553228723
12,814,2.8263118252580007e-05,-0.4084315033219708,1.5044533636654478e-06,1.3154716911603902e-07,-156.3701243383223,-155.77845060631364,-1.4853114792936943e-06,2.9692085192477218e-05,-1.521261519002156e-06,2.1494674234786052e-08,8.458700534372621e-08,-128.80349424777262,-125.6201467837553
13,920,0.003956110761697071,0.5332514199867294,1.103268512670534,0.009221464362307478,-32.86788539224616,-33.492606984561995,0.21688239393286388,0.006581976163360518,-1.8727249639025098e-05,1.5187184176026415e-08,0.038313927501611,-7.294945256258307,-5.919666848574142
14,39835,0.0001302859198782726,-0.11326364794214931,0.0,7.381402561100659e-07,-123.58858818522526,-123.35026356018575,,,,,,,
15,39836,3.0139441610316156e-05,-0.018862406561312724,160.70540268911046,9.81678186641794e-10,-224.44342666454898,-223.53567138556684,5.004926408636658e-05,2.5421311235284306e-05,-7.948393808019914e-08,1.190062553893608e-10,1.002835154918111e-09,-187.85142720084397,-183.73333154988566
16,39837,1.67390447190337e-05,-0.07075689020413287,111.38015812547165,1.1425106879983494e-08,-199.9003763828198,-198.99262110383765,-2.8019559424660662e-05,1.4843684775209564e-05,-5.132140908410213e-08,1.2333021359988755e-10,1.0498890255037587e-08,-164.36704301949635,-160.24894736853804
17,39838,6.138862914532833e-06,0.00443699601007106,173.99303372821257,4.68050152317004e-10,-231.85030755675976,-230.94255227777762,3.739928393440862e-07,6.2439955813712865e-06,-6.5771772000395915e-09,5.7616894040670765e-12,4.6456004659099024e-10,-195.54638321158882,-191.4282875606305
18,39839,1.271643008280411e-05,-0.2563967467569578,0.0,1.5649940382039252e-09,-219.77968915409957,-218.87193387511743,3.627147065392852e-05,4.883522678506196e-06,-1.917204914063239e-08,5.323285839000379e-11,7.9775309734189e-10,-190.13929994765266,-186.02120429669435
19,39840,0.32095957589923035,-0.5590448919776244,0.0,1.2245459966130752,-115.71415601389933,-110.963599198531,0.21022160717450475,0.027060661165673912,0.06005594715289806,-0.010215569642113818,1.184289944187795,45.24605471025429,99.50217967930593
