,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
167,39996,38.6442,2.64e-05,7.347051384925879e-07,0.00015319700000000002,1.3888446575231622e-08,1.0246178660114902,6481.478619477196,1.5862860240608124e-09,-172.73049542907071,-172.49217080403122,5.356669713461366e-07,4.805367218827052e-09,-163.86379131848432,-163.62546669344482,-3.619974347064805e-05,1.6787902536081254e-06,-5.917930889523707e-09,7.547844369082524e-12,1.5594184800807171e-09,-146.16413863704148,-143.7669309286423
168,39997,38.6442,4.48e-05,1.00539028554079e-06,0.00027769599999999997,4.684546728593172e-10,1.9999951093302641,4216.167968600557,6.602906924153088e-09,-161.3215790680555,-161.08325444301602,9.175646549423542e-07,3.3145513045664186e-08,-148.4144001938192,-148.1760755687797,-9.875331612064333e-05,3.7588181468924994e-06,-1.289114546028932e-08,1.2591377513037097e-11,4.607719601714204e-09,-137.49677792797763,-135.09957021957845
169,39998,6.0,0.0285735,0.00228656231809232,0.454763194,0.000982384933625924,0.3953936711102095,2.16852695991018,0.005721116504313694,-51.94426273004895,-51.70593810500944,0.0007369999310157902,0.1375805574387836,-26.50389762263557,-26.265572997596063,-0.0021739809429668243,0.0034764058410084713,-8.985224798436743e-06,6.691479357139884e-09,0.0015683643222441004,-35.59429208754521,-33.197084379146034
170,39999,6.0,0.023134832999999997,0.00242355597659156,0.571887694,0.00014034988784378182,0.9112607019531112,1.8537708179462113,0.028004904489837223,-39.238537323793786,-39.00021269875428,0.0009064289206188772,0.24826067075434927,-21.781740278045937,-21.54341565300643,-0.027671598214076013,0.005141486453175295,-1.4431314682988483e-05,1.115721514763327e-08,0.010164624263968946,-20.64325017246011,-18.24604246406093
171,40000,6.0,0.0011911110000000001,0.00522442685036097,1.31173225,0.0008042017636268038,0.4625026007185564,0.7562294230659659,0.13437559569715754,-26.692463909557965,-26.454139284518458,0.001845820033682037,0.6457945519911891,-14.133723187482701,-13.895398562443194,0.022462339688626057,0.0032812302355024795,1.6722876943100908e-06,-5.125012086853888e-09,0.05194136443365975,-7.593634231546801,-5.196426523147622
172,40001,6.0,0.019346417,0.0036925172347315204,1.217334194,1.2487121004314759e-05,1.3644428309613827,0.9916941655340643,0.12325645162840061,-27.383437305918356,-27.14511268087885,0.0015441953391879572,0.7776332183170489,-12.647534795192389,-12.409210170152882,-0.007970719755791814,0.0038407082372123986,-3.2686827850974947e-07,-4.018396119184514e-09,8.433834951821293e-05,-58.97790683592902,-56.58069912752984
173,40002,6.0,1.58e-05,3.3688524590164e-07,0.000136822,2.558837007037586e-07,-0.9963660313793428,-3832765.4090218223,1.6840969295572487e-09,-149.03562558902982,-149.19789514186388,1.0037832572176597e-06,3.5517326689448408e-09,-143.81218298077866,-143.97445253361272,1.2563791281181864e-05,2.4588509843529344e-06,-4.898770998296361e-08,3.088950232294944e-10,7.140000648132652e-10,-133.1771980182204,-131.39355742199913
174,40003,6.0,1.0300000000000001e-05,2.12650273224044e-06,0.00024434,7.992648667368895e-07,0.590499842073219,3472.714096117985,5.4728882091551775e-09,-140.78558649950446,-140.94785605233852,2.3849059052583946e-06,1.3435699629412718e-08,-134.4988246910995,-134.66109424393355,7.430870022800318e-06,2.0843149672503714e-06,3.81197627246347e-08,-3.4065751592952517e-10,3.1625019493102343e-09,-122.75954814409374,-120.9759075478725
175,40004,1.0,6.89e-06,0.00016634278571428602,0.004256556,0.00018119235797131751,0.4991099407093573,289.3679766298725,3.3046730544280377e-06,-175.26095596646488,-173.80623601710087,0.00014812329494732918,7.040263716566536e-06,-166.18525894253227,-164.73053899316827,0.0003195119194899777,7.798338949461981e-05,1.5003699052508739e-05,-5.774731185443841e-07,2.268067779142595e-06,-133.72334245128553,-127.35918260319353
176,40005,1.0,0.000535667,3.0203497906698604e-05,0.0050111109999999995,0.00037346402720587725,1.808252755090038,279.05130382808943,7.58127532483759e-06,-165.2968292830908,-163.8421093337268,0.00016555876415095863,5.0576967301855116e-05,-142.52305112103565,-141.06833117167164,-1.4162573948615955e-05,0.0008210616755258454,-4.818326013174717e-05,7.676100513036245e-07,4.004905813773802e-06,-126.90024093911086,-120.53608109101886
177,40006,1.0,0.00038366699999999997,0.00011021153846153799,0.0038773329999999997,0.00015779597675508238,1.2988269699640425,308.1791808117161,1.221374221994572e-06,-187.20528685753865,-185.75056690817465,0.00015308895767819145,1.674971254988727e-05,-155.78443332995056,-154.32971338058655,0.00016529095418273254,0.0004412485164820435,-2.011089451418655e-05,2.8701603913001915e-07,1.842350115355969e-06,-136.21797777706,-129.853817928968
178,40007,1.0,0.0011279999999999999,2.71334458762887e-05,0.005734111,0.0013795018640447197,0.6363032892099763,218.58643073553193,5.369655173671194e-06,-169.4358421771479,-167.98112222778389,0.0002121821090995964,5.649709661925436e-05,-141.194735498281,-139.740015548917,0.0011199882158794158,0.0005079872344320966,-2.0235304216970783e-05,2.112614197739623e-07,3.0213924006011816e-06,-130.28186827691815,-123.91770842882615
179,40008,1.0,0.000637667,0.00042155146428571403,0.005738,0.0005583272892759744,0.8009582374254594,189.00893821565364,2.5448153605224317e-06,-113.68715201733158,-113.44882739229207,0.00041378285016769884,1.0549775019024699e-05,-102.3107805212828,-102.07245589624328,-0.00010422016233766603,0.0008341998949314593,-2.8896002164502443e-05,-4.2848800505049127e-07,2.0406600079371696e-06,-88.75041395521374,-86.35320624681457
180,40009,1.0,0.0008968889999999999,0.000155992191803279,0.006665778000000001,0.00033210109294497036,1.059250652496544,177.87194021198923,7.749109735607413e-06,-165.03407092572309,-163.57935097635908,0.00025514043128545293,5.708483041843405e-05,-141.07054551976344,-139.61582557039944,-0.0002558997010167189,0.0009288431785921505,-4.614716393968321e-05,6.86640907725117e-07,5.715164076237201e-06,-122.63300561706575,-116.26884576897375
181,40010,3000.0,200.2314815,0.0713049498056075,1481.481481,-45.563206333760775,1.9907595408930554,0.001415619875597384,1116578.4317022166,78.80412075838231,78.17939916606647,0.07126077189898729,7517.948940131149,48.799734979143174,48.17501338682734,-106.4257968038122,0.11616622444770881,-5.514492384718399e-06,1.8358330115095662e-10,708.8146539631449,51.65827002351412,53.033548431198284
182,40011,1.0129,3.7e-07,6.40039940089865e-06,6.925e-05,2.081927809535534e-06,1.9999999773082702,9382.29846057627,1.0174673206718705e-10,-117.0898616091576,-118.2615478718553,1.2598534625914823e-05,5.930556621588313e-10,-108.27585384204704,-109.44754010474475,6.317772167201741e-05,-0.00010912241325714852,5.2824110717151275e-05,-6.230113526461192e-06,1.7611402889488376e-12,-125.18310235623048,-123.96422653136227
183,40013,0.00824,0.325840545,0.579410992410978,0.51495536,91.57275745405413,-0.04617716180330844,2.0058442882774434,0.004688068648381385,-53.5374090005473,-53.29908437550779,0.9556898830288705,0.9414658224436254,-11.11807019519031,-10.879745570150803,0.3522468868784842,1.9655559154600173,-7.706674466885187,7.042871235269477,0.009361155849868658,-21.302007865226724,-18.904800156827545
184,40014,0.01294,0.292255649,1.0163173558024101,0.63779449,1.0430636010837206,-0.7746525953938179,0.5840071080735129,0.004897285100299491,-44.85489106342991,-45.01716061626397,1.0917307094512005,0.6672525540458648,-10.453477684284199,-10.61574723711826,0.30170808576381875,2.379110942987668,-8.205133042286091,7.373698137521779,0.006024299242166416,-21.539910381588943,-19.75626978536769
185,40017,10.0,0.000140931,1.31536701030928e-05,0.001526875,5.668027667234528e-07,1.6546261131690034,848.8010075633059,7.416274805347491e-07,-482.5054517789393,-478.50883824841367,2.297781193116179e-05,1.7811089489957982e-06,-457.9734089975249,-453.9767954669993,-0.0004196092426052402,7.632278324800876e-05,-1.2035875199089777e-06,5.863783276450504e-09,7.220595678635161e-07,-359.7935979551853,-324.4884852008052
